No,yd,y
1,2013-07,0
2,2013-08,1
3,2013-09,5744
4,2013-10,11134
5,2013-11,14497
6,2013-12,13972
7,2014-01,14.075
8,2014-02,14.083
9,2014-03,12.149
10,2014-04,11.754
11,2014-05,11.300
12,2014-06,14.309
13,2014-07,13.575
14,2014-08,13.774
15,2014-09,15.674
16,2014-10,14.202
17,2014-11,13.408
18,2014-12,15.820
19,2015-01,12.524
20,2015-02,12.169
21,2015-03,13.500
22,2015-04,12.685
23,2015-05,12.923
24,2015-06,14.454
25,2015-07,12.420
26,2015-08,13.838
27,2015-09,14.907
28,2015-10,14.700
29,2015-11,16.362
30,2015-12,16.035
31,2016-01,13.649
32,2016-02,15.271
33,2016-03,14.421
34,2016-04,13.464
35,2016-05,14.571
36,2016-06,18.546
37,2016-07,11.160
38,2016-08,24.078
39,2016-09,25.021
40,2016-10,24.625
41,2016-11,23.385
42,2016-12,25.517
43,2017-01,19.087
44,2017-02,18.347
45,2017-03,20.978
46,2017-04,19.069
47,2017-05,21.872
48,2017-06,19.292
49,2017-07,19.173
50,2017-08,19.332
51,2017-09,17.953
52,2017-10,19.364
53,2017-11,22.241
54,2017-12,25.972
55,2018-01,19.535
56,2018-02,17.612
57,2018-03,19.450
58,2018-04,19.595
59,2018-05,22.079
60,2018-06,15.737
61,2018-07,18.454
62,2018-08,17.401
63,2018-09,14.754
64,2018-10,16.659
65,2018-11,19.323
66,2018-12,24.881
67,2019-01,17.148
68,2019-02,16.267
69,2019-03,19.751
70,2019-04,16.990
71,2019-05,23.061
72,2019-06,14.079
73,2019-07,18.376
74,2019-08,17.996
75,2019-09,16.864
76,2019-10,18.530
77,2019-11,19.418
78,2019-12,22.526
79,2020-01,16.912
80,2020-02,16.341
81,2020-03,12.914
82,2020-04,4.858
83,2020-05,3.982
84,2020-06,5.652
85,2020-07,6.693
86,2020-08,7.235
87,2020-09,8.492
88,2020-10,9.082
89,2020-11,10.592
90,2020-12,13.722
91,2021-01,9.912
92,2021-02,9.196
93,2021-03,11.489
94,2021-04,15.098
95,2021-05,13.303
96,2021-06,13.308
97,2021-07,8.716
98,2021-08,11.068
99,2021-09,12.495
100,2021-10,12.108
101,2021-11,12.834
102,2021-12,15.692
103,2022-01,12.580
104,2022-02,12.770
105,2022-03,13.669
106,2022-04,13.487
107,2022-05,9.821
